slug,name,sku,price,description,categories,image_url,audio_url,asset_code,album,track_number,raw_slug,metadata_path
kamikaze,Kamikaze,HAWK-BAP-03,0.69,"Digital download of ""Kamikaze"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-03/kamikaze.mp3,HAWK-BAP-03,02_Behold_A_Pale_Horse,3,kamikaze,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/03_kamikaze/data/metadata.json
whistleblower,Whistleblower,HAWK-BAP-04,0.69,"Digital download of ""Whistle Blower"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-04/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-04/whistle_blower.mp3,HAWK-BAP-04,02_Behold_A_Pale_Horse,4,whistleblower,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/04_whistleblower/data/metadata.json
superstitions,Superstitions,HAWK-BAP-05,0.69,"Digital download of ""Scripture"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-05/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-05/scripture.mp3,HAWK-BAP-05,02_Behold_A_Pale_Horse,5,superstitions,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/05_superstitions/data/metadata.json
scripture,Scripture,HAWK-BAP-06,0.69,"Digital download of ""Superstitions"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-06/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-06/superstitions.mp3,HAWK-BAP-06,02_Behold_A_Pale_Horse,6,scripture,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/06_scripture/data/metadata.json
menace-to-society,Menace To Society,HAWK-BAP-07,0.69,"Digital download of ""Menace To Society"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-07/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-07/menace_to_society.mp3,HAWK-BAP-07,02_Behold_A_Pale_Horse,7,menace-to-society,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/07_menace-to-society/data/metadata.json
semi-automatic,Semi-Automatic,HAWK-BAP-08,0.69,"Digital download of ""Semi Automatic"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-08/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-08/semi_automatic.mp3,HAWK-BAP-08,02_Behold_A_Pale_Horse,8,semi-automatic,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/08_semi-automatic/data/metadata.json
reverse-this-curse,Reverse This Curse,HAWK-BAP-09,0.69,"Digital download of ""Reverse This Curse"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-09/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-09/reverse_this_curse.mp3,HAWK-BAP-09,02_Behold_A_Pale_Horse,9,reverse-this-curse,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/09_reverse-this-curse/data/metadata.json
kt,Kt,HAWK-BAP-10,0.69,"Digital download of ""K T"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-10/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-10/kt.mp3,HAWK-BAP-10,02_Behold_A_Pale_Horse,10,kt,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/10_kt/data/metadata.json
the-story-celebrated-throughout-time,The Story Celebrated Throughout Time,HAWK-BAP-11,0.69,Digital download of “The Story Celebrated Throughout Time” by Hawk Eye The Rapper.,02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-11/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-11/the_story_celebrated_throughout_time.mp3,HAWK-BAP-11,02_Behold_A_Pale_Horse,11,the-story-celebrated-throughout-time,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/11_the-story-celebrated-throughout-time/data/metadata.json
soft-disclosure,Soft Disclosure,HAWK-M-01,0.69,"Digital download of ""Soft Disclosure"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-01/soft_disclosure.mp3,HAWK-M-01,03_MiLabs,1,soft-disclosure,HAWK-ARS-02/_workspace/03_MiLabs/01_soft-disclosure/data/metadata.json
abreactions,Abreactions,HAWK-M-02,0.69,"Digital download of ""Abreactions"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-02/abreactions.mp3,HAWK-M-02,03_MiLabs,2,abreactions,HAWK-ARS-02/_workspace/03_MiLabs/02_abreactions/data/metadata.json
eyes-wide-open,Eyes Wide Open,HAWK-M-03,0.69,"Digital download of ""Eyes Wide Open"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-03/eyes_wide_open.mp3,HAWK-M-03,03_MiLabs,3,eyes-wide-open,HAWK-ARS-02/_workspace/03_MiLabs/03_eyes-wide-open/data/metadata.json
delta-squad,Delta Squad,HAWK-M-04,0.69,"Digital download of ""Delta Squad"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-04/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-04/delta_squad.mp3,HAWK-M-04,03_MiLabs,4,delta-squad,HAWK-ARS-02/_workspace/03_MiLabs/04_delta-squad/data/metadata.json
implants,Implants,HAWK-M-05,0.69,"Digital download of ""Implants"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-05/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-05/implants.mp3,HAWK-M-05,03_MiLabs,5,implants,HAWK-ARS-02/_workspace/03_MiLabs/05_implants/data/metadata.json
illuminati,Illuminati,HAWK-M-06,0.69,"Digital download of ""Illuminati"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-06/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-06/illuminati.mp3,HAWK-M-06,03_MiLabs,6,illuminati,HAWK-ARS-02/_workspace/03_MiLabs/06_illuminati/data/metadata.json
fema,Fema,HAWK-M-07,0.69,"Digital download of ""Fema"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-07/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-07/fema.mp3,HAWK-M-07,03_MiLabs,7,fema,HAWK-ARS-02/_workspace/03_MiLabs/07_fema/data/metadata.json
the-antidote,The Antidote,HAWK-M-08,0.69,"Digital download of ""Antidote"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-08/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-08/the_antidote.mp3,HAWK-M-08,03_MiLabs,8,the-antidote,HAWK-ARS-02/_workspace/03_MiLabs/08_the-antidote/data/metadata.json
avalanche,Avalanche,HAWK-M-09,0.69,"Digital download of ""Avalanche"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-09/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-09/avalanche.mp3,HAWK-M-09,03_MiLabs,9,avalanche,HAWK-ARS-02/_workspace/03_MiLabs/09_avalanche/data/metadata.json
artificial-intelligence,Artificial Intelligence,HAWK-M-10,0.69,"Digital download of ""Artificial Intelligence"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-10/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-10/artificial_intelligence.mp3,HAWK-M-10,03_MiLabs,10,artificial-intelligence,HAWK-ARS-02/_workspace/03_MiLabs/10_artificial-intelligence/data/metadata.json
legion,Legion,HAWK-M-11,0.69,"Digital download of ""Legion"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-11/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-11/legion.mp3,HAWK-M-11,03_MiLabs,11,legion,HAWK-ARS-02/_workspace/03_MiLabs/11_legion/data/metadata.json
when-my-elites-surround,When My Elites Surround,HAWK-M-12,0.69,"Digital download of ""When My Elites Surround"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-12/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-12/when_my_elites_surround.mp3,HAWK-M-12,03_MiLabs,12,when-my-elites-surround,HAWK-ARS-02/_workspace/03_MiLabs/12_when-my-elites-surround/data/metadata.json
reincarnated-2-resist,Reincarnated 2 Resist,HAWK-M-13,0.69,"Digital download of ""Reincarnated 2 Resist"" by Hawk Eye The Rapper.",03_MiLabs,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-13/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-M-13/reincarnated_2_resist.mp3,HAWK-M-13,03_MiLabs,13,reincarnated-2-resist,HAWK-ARS-02/_workspace/03_MiLabs/13_reincarnated-2-resist/data/metadata.json
malicious,Malicious,HAWK-ME-01,0.69,"Digital download of “Malicious"" by Hawk Eye The Rapper.",01_Malicious_EP,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-ME-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-ME-01/malicious.mp3,HAWK-ME-01,01_Malicious_EP,1,malicious,HAWK-ARS-03/_workspace/01_Malicious_EP/01_malicious/data/metadata.json
gang-shit,Gang Shit,HAWK-ME-02,0.69,"Digital download of “Gang Shitt"" by Hawk Eye The Rapper.",01_Malicious_EP,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-ME-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-ME-02/gang_shit.mp3,HAWK-ME-02,01_Malicious_EP,2,gang-shit,HAWK-ARS-03/_workspace/01_Malicious_EP/02_gang-shit/data/metadata.json
the-motherfucking-problem,The Motherfucking Problem,HAWK-ME-03,0.69,Digital download of “The Motherfucker Problem” by Hawk Eye The Rapper.,01_Malicious_EP,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-ME-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-ME-03/the_motherfucking_problem.mp3,HAWK-ME-03,01_Malicious_EP,3,the-motherfucking-problem,HAWK-ARS-03/_workspace/01_Malicious_EP/03_the-motherfucking-problem/data/metadata.json
im-him,Im Him,HAWK-ME-04,0.69,Digital download of “Forgot I’m Him” by Hawk Eye The Rapper.,01_Malicious_EP,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-ME-04/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-ME-04/im_him.mp3,HAWK-ME-04,01_Malicious_EP,4,im-him,HAWK-ARS-03/_workspace/01_Malicious_EP/04_im-him/data/metadata.json
psychological-warfare,Psychological Warfare,HAWK-SB-01,0.69,"Digital download of ""Psychological Warfare"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-01/psychological_warfare.mp3,HAWK-SB-01,02_Shadow_Banned,1,psychological-warfare,HAWK-ARS-03/_workspace/02_Shadow_Banned/01_psychological-warfare/data/metadata.json
down-the-rabbit-hole,Down The Rabbit Hole,HAWK-SB-02,0.69,"Digital download of ""Down The Rabbit Hole"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-02/down_the_rabbit_hole.mp3,HAWK-SB-02,02_Shadow_Banned,2,down-the-rabbit-hole,HAWK-ARS-03/_workspace/02_Shadow_Banned/02_down-the-rabbit-hole/data/metadata.json
domestic-terrorist,Domestic Terrorist,HAWK-SB-03,0.69,"Digital download of ""Domestic Terrorist"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-03/domestic_terrorist.mp3,HAWK-SB-03,02_Shadow_Banned,3,domestic-terrorist,HAWK-ARS-03/_workspace/02_Shadow_Banned/03_domestic-terrorist/data/metadata.json
relentless,Relentless,HAWK-SB-04,0.69,"Digital download of ""Relentless"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-04/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-04/relentless.mp3,HAWK-SB-04,02_Shadow_Banned,4,relentless,HAWK-ARS-03/_workspace/02_Shadow_Banned/04_relentless/data/metadata.json
never-heard-of-me,Never Heard Of Me,HAWK-SB-05,0.69,"Digital download of ""Never Heard Of Me"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-05/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-05/never_heard_of_me.mp3,HAWK-SB-05,02_Shadow_Banned,5,never-heard-of-me,HAWK-ARS-03/_workspace/02_Shadow_Banned/05_never-heard-of-me/data/metadata.json
spiteful-poetry,Spiteful Poetry,HAWK-SB-06,0.69,"Digital download of ""Spiteful Poetry"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-06/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-06/spiteful_poetry.mp3,HAWK-SB-06,02_Shadow_Banned,6,spiteful-poetry,HAWK-ARS-03/_workspace/02_Shadow_Banned/06_spiteful-poetry/data/metadata.json
devils-in-the-details,Devils In The Details,HAWK-SB-07,0.69,"Digital download of “The Devil’s In The Details"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-07/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-07/the_devils_in_the_details.mp3,HAWK-SB-07,02_Shadow_Banned,7,devils-in-the-details,HAWK-ARS-03/_workspace/02_Shadow_Banned/07_devils-in-the-details/data/metadata.json
the-game,The Game,HAWK-SB-08,0.69,"Digital download of “The Game"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-08/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-08/the_game.mp3,HAWK-SB-08,02_Shadow_Banned,8,the-game,HAWK-ARS-03/_workspace/02_Shadow_Banned/08_the-game/data/metadata.json
